462.72	2320.00
463.09	2269.00
463.46	2262.00
463.83	2239.50
464.19	2200.00
464.56	2189.50
464.93	2181.00
465.30	2254.00
465.67	2083.00
466.03	2069.50
466.40	2044.00
466.77	1988.50
467.14	2051.50
467.51	1998.00
467.87	2009.00
468.24	1949.50
468.61	1933.00
468.98	1882.00
469.35	1928.50
469.71	1897.00
470.08	1881.00
470.45	1925.50
470.82	1776.50
471.18	1775.00
471.55	1745.00
471.92	1731.50
472.28	1746.50
472.65	1815.50
473.02	1761.00
473.39	1644.00
473.75	1659.00
474.12	1628.50
474.49	1642.50
474.85	1573.00
475.22	1602.50
475.59	1578.00
475.95	1534.00
476.32	1600.50
476.69	1489.50
477.05	1456.00
477.42	1443.00
477.79	1463.50
478.15	1527.00
478.52	1401.50
478.89	1543.00
479.25	1388.50
479.62	1379.00
479.99	1401.50
480.35	1381.50
480.72	1347.50
481.09	1304.50
481.45	1322.00
481.82	1308.00
482.18	1249.00
482.55	1352.50
482.92	1369.00
483.28	1224.00
483.65	1211.50
484.01	1178.50
484.38	1159.00
484.75	1121.00
485.11	1112.00
485.48	1041.50
485.84	1065.50
486.21	1039.50
486.57	1005.50
486.94	996.50
487.30	979.50
487.67	1010.50
488.04	1021.50
488.40	1040.00
488.77	1039.50
489.13	1031.00
489.50	1062.50
489.86	994.00
490.23	988.00
490.59	975.50
490.96	962.50
491.32	951.50
491.69	950.50
492.05	946.00
492.42	919.00
492.78	955.00
493.15	926.00
493.51	988.00
493.88	893.00
494.24	886.50
494.60	888.00
494.97	898.00
495.33	865.00
495.70	847.50
496.06	883.00
496.43	861.50
496.79	840.00
497.16	824.00
497.52	806.00
497.88	801.50
498.25	774.50
498.61	771.50
498.98	759.50
499.34	732.50
499.70	764.00
500.07	739.00
500.43	726.50
500.80	701.00
501.16	700.00
501.52	696.00
501.89	695.00
502.25	685.50
502.61	670.00
502.98	668.00
503.34	650.00
503.70	628.00
504.07	664.00
504.43	648.50
504.79	651.00
505.16	614.00
505.52	609.00
505.88	621.50
506.25	637.00
506.61	613.00
506.97	671.50
507.34	951.50
507.70	597.00
508.06	554.50
508.43	567.50
508.79	582.50
509.15	556.00
509.51	533.00
509.88	547.00
510.24	642.50
510.60	552.00
510.96	521.50
511.33	529.50
511.69	514.00
512.05	489.50
512.41	501.50
512.78	474.50
513.14	490.50
513.50	487.00
513.86	451.50
514.23	458.00
514.59	442.00
514.95	470.00
515.31	431.00
515.67	416.50
516.04	412.00
516.40	410.00
516.76	395.00
517.12	414.50
517.48	413.50
517.85	557.50
518.21	429.50
518.57	400.00
518.93	406.00
519.29	436.00
519.65	404.00
520.01	394.50
520.38	441.50
520.74	379.00
521.10	386.00
521.46	391.50
521.82	403.00
522.18	392.50
522.54	378.50
522.90	373.50
523.27	380.00
523.63	390.00
523.99	401.50
524.35	396.50
524.71	371.00
525.07	398.50
525.43	371.50
525.79	352.50
526.15	348.00
526.51	374.00
526.87	384.00
527.23	365.50
527.60	355.00
527.96	372.00
528.32	341.50
528.68	371.50
529.04	382.50
529.40	364.50
529.76	378.00
530.12	360.00
530.48	382.50
530.84	407.50
531.20	361.50
531.56	391.00
531.92	399.00
532.28	359.50
532.64	357.50
533.00	371.00
533.36	376.50
533.72	376.50
534.08	366.00
534.44	401.00
534.80	374.00
535.16	371.00
535.52	368.00
535.87	363.00
536.23	433.00
536.59	386.50
536.95	411.00
537.31	394.50
537.67	389.50
538.03	377.00
538.39	387.00
538.75	381.50
539.11	411.00
539.47	408.50
539.83	375.50
540.19	388.50
540.54	361.00
540.90	371.00
541.26	420.50
541.62	380.00
541.98	372.50
542.34	375.50
542.70	369.50
543.06	467.00
543.41	439.00
543.77	419.00
544.13	434.00
544.49	394.00
544.85	400.00
545.21	390.00
545.56	416.00
545.92	445.50
546.28	444.00
546.64	399.50
547.00	414.00
547.35	479.50
547.71	413.50
548.07	432.00
548.43	400.00
548.79	417.50
549.14	412.00
549.50	439.50
549.86	446.50
550.22	414.00
550.58	456.00
550.93	438.50
551.29	465.00
551.65	415.50
552.01	461.00
552.36	457.00
552.72	430.50
553.08	445.00
553.43	515.00
553.79	452.00
554.15	433.50
554.51	458.50
554.86	463.00
555.22	427.00
555.58	459.50
555.93	454.00
556.29	692.50
556.65	518.50
557.01	499.50
557.36	454.50
557.72	437.50
558.08	428.00
558.43	431.00
558.79	442.00
559.15	463.00
559.50	497.00
559.86	460.00
560.21	432.50
560.57	441.50
560.93	451.50
561.28	468.00
561.64	503.50
562.00	459.50
562.35	476.00
562.71	476.50
563.06	562.50
563.42	468.00
563.78	479.50
564.13	459.00
564.49	472.50
564.84	484.00
565.20	462.50
565.56	439.50
565.91	465.00
566.27	456.50
566.62	483.50
566.98	446.50
567.33	459.50
567.69	622.50
568.04	508.00
568.40	553.00
568.75	461.00
569.11	467.50
569.47	507.50
569.82	476.50
570.18	457.50
570.53	455.50
570.89	432.00
571.24	449.00
571.60	453.50
571.95	477.00
572.31	480.50
572.66	446.50
573.02	452.50
573.37	513.00
573.72	470.50
574.08	456.00
574.43	473.50
574.79	462.00
575.14	474.00
575.50	488.00
575.85	477.00
576.21	478.50
576.56	531.50
576.91	481.00
577.27	477.50
577.62	471.00
577.98	464.00
578.33	504.00
578.69	522.00
579.04	477.00
579.39	511.50
579.75	527.50
580.10	493.00
580.45	537.00
580.81	517.50
581.16	524.00
581.52	522.50
581.87	508.50
582.22	539.50
582.58	516.00
582.93	521.50
583.28	536.50
583.64	522.00
583.99	543.50
584.34	530.50
584.70	528.50
585.05	515.50
585.40	548.00
585.76	552.00
586.11	544.50
586.46	523.50
586.82	546.50
587.17	545.50
587.52	532.00
587.87	525.50
588.23	555.00
588.58	545.00
588.93	506.00
589.29	522.50
589.64	531.00
589.99	519.50
590.34	555.50
590.70	568.00
591.05	532.50
591.40	551.50
